,geometry,class,confidence,tile_id,original_yolo,normalized,bbox_coords,x,y
879,POINT (2221952.933453417 6457722.059530215),Truck,0.6562502384185791,16,"{'x1': 117.82695007324219, 'y1': 50.39616012573242, 'x2': 44.363990783691406, 'y2': 29.275739669799805}","{'x': 0.12671167850494386, 'y': 0.06224367022514343}","{'minx': 2221865.6046212674, 'miny': 6457715.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457815.835163193}",2221952.933453417,6457722.059530215
1230,POINT (2221940.0488008023 6457848.742420273),Truck,0.6421913504600525,23,"{'x1': 288.12066650390625, 'y1': 505.413330078125, 'x2': 38.99382781982422, 'y2': 43.79955291748047}","{'x': 0.2555582046508789, 'y': 0.42907257080078126}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221940.0488008023,6457848.742420273
784,POINT (2222302.8034509183 6457638.622858124),Truck,0.6401025056838989,13,"{'x1': 261.569580078125, 'y1': 140.7688446044922, 'x2': 30.285400390625, 'y2': 22.913658142089844}","{'x': 0.22801170349121094, 'y': 0.12787694931030275}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222302.8034509183,6457638.622858124
1139,POINT (2221863.8790453435 6457820.208104448),Truck,0.6382488012313843,22,"{'x1': 110.97681427001953, 'y1': 161.3751220703125, 'x2': 39.110557556152344, 'y2': 22.598522186279297}","{'x': 0.11725575923919677, 'y': 0.14372941255569457}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221863.8790453435,6457820.208104448
1269,POINT (2222101.1737359525 6457846.170098381),Truck,0.6371356248855591,25,"{'x1': 544.13525390625, 'y1': 485.7689514160156, 'x2': 24.580093383789062, 'y2': 30.518245697021484}","{'x': 0.44430885314941404, 'y': 0.4033493518829346}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222101.1737359525,6457846.170098381
957,POINT (2222315.975762105 6457757.894846993),Truck,0.6182349920272827,20,"{'x1': 73.63472747802734, 'y1': 510.95355224609375, 'x2': 49.61466979980469, 'y2': 27.41042709350586}","{'x': 0.09628859162330627, 'y': 0.4205968379974365}","{'minx': 2222225.6046212674, 'miny': 6457715.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457815.835163193}",2222315.975762105,6457757.894846993
798,POINT (2222305.154000616 6457651.152703362),Truck,0.5745452642440796,13,"{'x1': 226.0387420654297, 'y1': 285.36724853515625, 'x2': 35.72919845581055, 'y2': 38.697265625}","{'x': 0.20450620651245116, 'y': 0.2531754016876221}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222305.154000616,6457651.152703362
988,POINT (2221773.645726538 6457836.600272255),Truck,0.5539032220840454,21,"{'x1': 115.43340301513672, 'y1': 354.4803466796875, 'x2': 37.64044952392578, 'y2': 39.31303405761719}","{'x': 0.11958894729614258, 'y': 0.30765109062194823}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221773.645726538,6457836.600272255
680,POINT (2222095.0620997907 6457654.749843674),Truck,0.5433546900749207,11,"{'x1': 632.4864501953125, 'y1': 318.91986083984375, 'x2': 14.457818031311035, 'y2': 51.18803787231445}","{'x': 0.505425214767456, 'y': 0.28914680480957033}","{'minx': 2222045.6046212674, 'miny': 6457625.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457725.835163193}",2222095.0620997907,6457654.749843674
1013,POINT (2221762.1634782315 6457823.4868021775),Truck,0.5387444496154785,21,"{'x1': 250.09080505371094, 'y1': 194.97811889648438, 'x2': 49.955833435058594, 'y2': 30.962865829467773}","{'x': 0.23441143035888673, 'y': 0.17651638984680176}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221762.1634782315,6457823.4868021775
1227,POINT (2221961.841139889 6457836.046039658),Truck,0.5372363924980164,23,"{'x1': 15.80195426940918, 'y1': 331.5852966308594, 'x2': 32.37060546875, 'y2': 55.113922119140625}","{'x': 0.03763481378555298, 'y': 0.3021087646484375}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221961.841139889,6457836.046039658
1128,POINT (2221850.7331646443 6457816.227068501),Truck,0.5371881723403931,22,"{'x1': 273.16082763671875, 'y1': 108.5400390625, 'x2': 45.19382095336914, 'y2': 24.476356506347656}","{'x': 0.24871456623077393, 'y': 0.10391905307769775}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221850.7331646443,6457816.227068501
