,geometry,class,confidence,tile_id,original_yolo,normalized,bbox_coords,x,y
1122,POINT (2221869.5721084834 6457840.937456684),Truck,0.8470173478126526,22,"{'x1': 31.270715713500977, 'y1': 420.3749084472656, 'x2': 45.94544982910156, 'y2': 28.934457778930664}","{'x': 0.06032512784004211, 'y': 0.35102293491363523}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221869.5721084834,6457840.937456684
97,POINT (2221953.2892704965 6457578.3625050355),Truck,0.8468551635742188,2,"{'x1': 135.9353790283203, 'y1': 500.00738525390625, 'x2': 21.701114654541016, 'y2': 44.342620849609375}","{'x': 0.12315350770950317, 'y': 0.42527341842651367}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221953.2892704965,6457578.3625050355
482,POINT (2221866.3381076814 6457669.067346649),Truck,0.8433805108070374,8,"{'x1': 90.24127197265625, 'y1': 507.9541015625, 'x2': 28.370105743408203, 'y2': 45.41785430908203}","{'x': 0.09266513586044312, 'y': 0.432321834564209}","{'minx': 2221775.6046212674, 'miny': 6457625.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457725.835163193}",2221866.3381076814,6457669.067346649
1046,POINT (2221766.031521654 6457850.844070511),Truck,0.842880129814148,21,"{'x1': 213.4151153564453, 'y1': 528.131591796875, 'x2': 37.12056350708008, 'y2': 47.982391357421875}","{'x': 0.19573099613189698, 'y': 0.4500890731811523}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221766.031521654,6457850.844070511
252,POINT (2222133.300366497 6457561.873049336),Truck,0.842863917350769,4,"{'x1': 117.97792053222656, 'y1': 297.43035888671875, 'x2': 39.516544342041016, 'y2': 35.854583740234375}","{'x': 0.1230425477027893, 'y': 0.26037886142730715}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222133.300366497,6457561.873049336
1265,POINT (2222130.938831663 6457838.431584435),Truck,0.8420984745025635,25,"{'x1': 154.4976043701172, 'y1': 377.1715393066406, 'x2': 33.22450256347656, 'y2': 40.062644958496094}","{'x': 0.14665789604187013, 'y': 0.32596421241760254}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222130.938831663,6457838.431584435
210,POINT (2222120.3268588544 6457572.629324989),Truck,0.8401293754577637,4,"{'x1': 301.1003112792969, 'y1': 428.1116943359375, 'x2': 22.455032348632812, 'y2': 42.85359191894531}","{'x': 0.252777624130249, 'y': 0.36794161796569824}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222120.3268588544,6457572.629324989
644,POINT (2222026.9834340573 6457655.563048916),Truck,0.8389180302619934,10,"{'x1': 324.9073791503906, 'y1': 342.7751770019531, 'x2': 41.44383239746094, 'y2': 37.74177169799805}","{'x': 0.2862118721008301, 'y': 0.2972788572311401}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222026.9834340573,6457655.563048916
1120,POINT (2221860.2839363576 6457838.902060585),Truck,0.8387857675552368,22,"{'x1': 148.8741455078125, 'y1': 398.3302001953125, 'x2': 47.23061752319336, 'y2': 24.92608642578125}","{'x': 0.15320684909820556, 'y': 0.3306689739227295}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221860.2839363576,6457838.902060585
246,POINT (2222139.3900383473 6457558.510667877),Truck,0.8385381698608398,4,"{'x1': 26.932891845703125, 'y1': 259.2425537109375, 'x2': 52.613765716552734, 'y2': 31.003894805908203}","{'x': 0.06214582920074463, 'y': 0.22675504684448242}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222139.3900383473,6457558.510667877
322,POINT (2222204.4404591084 6457539.733021455),Truck,0.8383175134658813,5,"{'x1': 352.6836853027344, 'y1': 24.449413299560547, 'x2': 46.21758270263672, 'y2': 25.443172454833984}","{'x': 0.31164162158966063, 'y': 0.038978582620620726}","{'minx': 2222135.6046212674, 'miny': 6457535.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457635.835163193}",2222204.4404591084,6457539.733021455
224,POINT (2222139.9588585855 6457546.841640072),Truck,0.8374158143997192,4,"{'x1': 29.979446411132812, 'y1': 116.80127716064453, 'x2': 42.286312103271484, 'y2': 24.081634521484375}","{'x': 0.0564576268196106, 'y': 0.11006476879119872}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222139.9588585855,6457546.841640072
